Account List,,,,,
"Rim RR, LLC",,,,,

Account #,Full name,Type,Detail type,Description,Total balance
2050,Accounts Payable,Accounts payable (A/P),Accounts Payable (A/P),,"-86,574.31"
1100,Accounts Receivable,Accounts receivable (A/R),Accounts Receivable (A/R),,"3,712.91"
1003,Fidelity Savings,Bank,Savings,,"101,965.84"
1002,South State Treasury,Bank,Checking,,"44,967.49"
1000,Zions Checking,Bank,Checking,,"5,090.20"
5000,Cost of Goods Sold,Cost of Goods Sold,Supplies & Materials - COGS,,
5001,Cost of Goods Sold:Bikes,Cost of Goods Sold,Supplies & Materials - COGS,,
5051,Cost of Goods Sold:Commission Expense,Cost of Goods Sold,Other Costs of Services - COS,,
5002,Cost of Goods Sold:E-Bike,Cost of Goods Sold,Supplies & Materials - COGS,,
5003,Cost of Goods Sold:Merchandise,Cost of Goods Sold,Supplies & Materials - COGS,,
5004,Cost of Goods Sold:Merchant Service Fees,Cost of Goods Sold,Other Costs of Services - COS,,
5005,"Cost of Goods Sold:Parts, Supplies & Materials",Cost of Goods Sold,Supplies & Materials - COGS,,
5006,Cost of Goods Sold:Shipping Expense,Cost of Goods Sold,"Shipping, Freight & Delivery - COS",,
5007,Cost of Goods Sold:Shuttles,Cost of Goods Sold,Other Costs of Services - COS,,
5050,Cost of Goods Sold:Tours,Cost of Goods Sold,Other Costs of Services - COS,,
5052,"Cost of Goods Sold:Tours:Equipment <$2,500",Cost of Goods Sold,Other Costs of Services - COS,,
5053,Cost of Goods Sold:Tours:Food (Grocery),Cost of Goods Sold,Other Costs of Services - COS,,
5054,Cost of Goods Sold:Tours:Food (Warehouse),Cost of Goods Sold,Other Costs of Services - COS,,
5055,Cost of Goods Sold:Tours:Fuel,Cost of Goods Sold,Other Costs of Services - COS,,
5057,Cost of Goods Sold:Tours:Laundry Service,Cost of Goods Sold,Other Costs of Services - COS,,
5056,Cost of Goods Sold:Tours:Lodging & Dining,Cost of Goods Sold,Other Costs of Services - COS,,
5059,Cost of Goods Sold:Tours:Outside Adventure Expense,Cost of Goods Sold,Other Costs of Services - COS,,
